model,params,checkpoint,training_steps,n_rounds,noise,family
EleutherAI/pythia-70M-deduped,70426624,step65000,65000,4,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step65000,65000,4,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step65000,65000,4,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step65000,65000,4,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step65000,65000,4,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step77000,77000,0,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step95000,95000,0,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step101000,101000,4,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step107000,107000,0,0.25,Biased
